date_published,rating_value_10,rating_value_5,title,body
2025-08-26,5,5,"""A disappointing airline""","✅ Trip Verified | I flew yesterday from Singapore to Bangkok at around lunch time. The Aircraft was configured in a 3-3-3 pattern to have a total of 301 Seats in Economy Class. The problem was that for such a large Economy Class configuration , SIA provided only 6 toilets. Further the toilets were cramped, gloomy with barely any lighting. The Aircraft was clean - no more Newspapers, Economic Times Magazine , or Airline Mag. The Seats were comfortable. Audio device was provided a ear plugs. I had ordered AVML (Indian Veg Meal) & this came in 2 cardboard boxes. (One had some paneer curry with carrots on top & basamati rice biryani plain rice at the bottom luke warm) A half parotta (indian bread was provided with plain yougurt & sweet lime pickle. The other box had 3 small Rasmalia pieces in a sugary syrup. Drinks were served in paper cups & cutlery was wooden spoon & forks. My food was insipid bland & tasteless. The plane was about 75-80 % full and landed on time at Suvarnabhumi Airport. Baggage came undamaged in Bangkok. A disappointing airline"
2025-08-23,9,9,“Seats had generous pitch”,"✅ Trip Verified |    My connection in Changi was just over an hour, which meant power-walking through Terminal 3 like I was in a fitness ad, but I even managed to window-shop before heading to the gate. Boarding the A380 was the highlight, my first time on the superjumbo, and honestly I get the hype. Quiet, smooth, roomy, and with pillows and blankets already waiting on the seat, it felt like flying in a moving library. Turbulence near Taipei thanks to a hurricane reminded me we were still in the air, but otherwise it was ridiculously comfortable. Seats had generous pitch, adjustable (if slightly stiff) headrests, proper tray table design, cup holders, USB ports, and power outlets. The IFE had a bigger screen than the short-haul jets, and it was slick to use. WiFi was patchy, but that is more politics than technology when flying over certain countries. Meal was chicken egg noodles in honor of SG60, tasty enough to not need extra seasoning. Toilets definitely showed their age, but the crew were absolute stars, friendly and attentive. Bonus points for baggage arriving in Shanghai without drama, plus app tracking so I did not have to play “Will my bag make it?” roulette. If the A380 is a dying breed, I am glad I caught it while it still shines."
2025-08-23,10,10,"“Comfortable seat, friendly crew”","✅ Trip Verified |    An early morning flight usually means I am running on coffee fumes, but this one was smooth enough to feel like a gentle wake-up call. Check-in still required going to the counter (seriously, it is 2025… just let me generate the boarding pass on the app already), but at least the staff were efficient. Once onboard, the shiny A350 felt like a treat. Comfortable seat, friendly crew, pillows already waiting, and an inflight entertainment screen that actually worked quickly without lagging like an old smartphone. No tail camera, which was a pity, but the movie selection was solid. WiFi was complimentary for KrisFlyer members, though only good for messaging, so no video calls to brag midair. Power outlets and USB charging were available, meaning my phone landed happier than I did. The “snack” turned out to be a proper hot meal: a delicious bowl of mie ayam, filling to both stomach and soul. Arrival into Terminal 3 made the connection an easy stroll. A great start to the day, even if technology still refuses to replace the check-in counter."
2025-08-23,10,10,“fan of this aircraft”,"✅ Trip Verified |    The final leg felt like a nice epilogue to the trip. Another A350, and I am quickly becoming a fan of this aircraft. I had a window seat, which always feels like a win, and once again pillows and blankets were already placed on each seat. The plane looked like a long-haul setup, with a different business class cabin and even premium economy tucked in, so it felt a little more “fancy” than your usual short hop. Power outlet under the seat, responsive IFE system, all the essentials in place. This time, instead of movies, I scrolled through the audio section and let nature sounds help me nap, because why not listen to waves crashing while you are 30,000 feet above the Java Sea. Breakfast options were fried carrot cake or omelet, and I went with the omelet and apple juice, simple and satisfying after a long night of travel. The crew were, as always, attentive without being overbearing. Best of all, no disruptive passengers in sight. A short, calm, and restful way to close the journey, and proof that not every flight story needs drama."
2025-08-23,8,8,“not bad at all”,"✅ Trip Verified |    Dropping off baggage at Pudong station there were counters open, long line, lots of sighing, but at least the ground staff were polite. The red-eye back was on a 787-10, another first for me, and I liked the layout. Proper seat pockets instead of flimsy nets, USB and power at each seat, pillows and blankets already waiting, and an IFE system that actually responded when you tapped it. I barely used it though, since I was more focused on sleep. Dinner was twice-cooked pork, a little bland but improved with a glass of white wine. Toilets were conveniently mid-cabin, which helped since I was half-asleep most of the flight. The crew handled everything gracefully, including a fellow passenger who ordered a bland meal then complained it was not vegetarian, and spent the rest of the flight blinding people with their flashlight. Not the crew’s fault, but I had secondhand embarrassment on their behalf. Arrival in Singapore was smooth, and I even had time for shopping and a quick stop before security. For a red-eye, this one was not bad at all, flashlight warriors aside."
2025-08-23,7,7,“ complaint requesting compensation”,"✅ Trip Verified |    In response to the delayed departure of Scoot’s flight in Bangkok, which resulted in a more than three-hour delay and the subsequent missed connection to Johannesburg, I was rerouted to Amsterdam (economy plus) and then I was put on a KLM flight to Cape Town (economy only). I lodged a formal complaint requesting compensation. However, my request was met with a simple letter expressing gratitude for my patience. I find that this is inacceptable as they could have put me on a later flight from SIN to JNB/CPT saving me the additional 11 hours flight and the transit time in Amsterdam. While I am disappointed with the inadequate response, I must acknowledge that the economy premium offered by Singapore Airlines was satisfactory. In my opinion, their economy premiumis superior to comparable options provided by other airlines, as the seats are significantly more comfortable. The food quality was acceptable, although the wine selection was limited. Service was standard, nothing to write home about but the entertainment options on Singapore Airlines were highly enjoyable. Given the horrendous connection offered and the equally unsatisfying response, I will not fly SQ again"
2025-08-16,1,1,“missed my connection”,✅ Trip Verified |    I flew from SYD to the UK and return in May 2025. The LGW to SIN flight was delayed and I missed my connection to SYD. I was put on a later flight and downgraded to economy. I accept delays happen but I do not accept that Singapore Airlines take 3 months to make a simple fare adjustment and refund to me. I paid $5822.00 for this flight on 8 November 2024 - the fare adjustment/refund of $229.00 for the SIN to SYD sector is disproportionate and an insult. The service to me on board was shoddy and my food was poor. A year earlier I flew SYD/LHR/SYD on JAL - a vastly superior experience.
2025-08-12,4,4,"""served in a plastic cup""","✅ Trip Verified | I’ve always admired Singapore Airlines for its attention to detail and exceptional service, which is why I booked them for my recent flight from San Francisco to Singapore in Premium economy. I was quite surprised when I ordered a whiskey and it was served in a plastic cup. For the price of the ticket, I expected proper glasswar. It might seem like a small detail, but these details are what truly define a premium travel experience. Everything else about the journey — the professionalism of the crew, the comfort of the cabin, and the on-time performance — met the high standards I’ve come to expect. But this one detail felt inconsistent with the Singapore Airlines experience I’ve always valued."
2025-08-04,2,2,"""standard has dropped""",✅ Trip Verified | The cabin service and food served to me on this flight was horrendous. Cabin crew service no longer had the warmth that they used to be known for. Singapore Airlines' standard has dropped drastically.
2025-07-30,10,10,“Staff polite and courteous”,"✅ Trip Verified | SQ177 in Economy. Check in at SGN fast. Staff polite, and courteous. They acknowledged I checked in Online, checked my Bag through, instructed me to watch my Bag go through security, and thanked me. Proceed to the gate. We had a Gate Change, and the announcement was clear. However when boarding commenced, Announcements were not clear, and extremely difficult. Volume was low, or speakers were out of service. Boarded, with a friendly, warm crew welcoming us aboard. Overhead storage not available, so had to use 3 rows ahead of me. Pushed back, and got on the Runway. Seem to sit for a while, ready for take. Took off, and right into Turbulence, so limited services. Eventually served a Meal, and Drink. I had the Fish, and Potatoes. As the Captain announced descend, Crew expeditiously coming around to collect Trays, and Trash. Smooth landing, and arrived into Changi T3, with the friendly crew wishing me well."
2025-07-22,10,10,"""experience was very positive""","✅ Trip Verified | Bangkok to Rome with stop in Singapore with wife and infant (almost 2 years old). Overall the experience was very positive. You can choose seat and meal option at booking time, so you won't have to worry about it before your journey. We chose the seats with bassinet support, which are spacious. They delivered food earlier for us, and they have proper infant meal which includes milk and a solid option. + Entertainment options are decent. They also provided a gift to the baby and free stroller delivery. Overall I would retake this airline without a doubt."
2025-07-14,2,2,“Not worth the money”,Not Verified | Flight delayed with technical fault meaning missed connector to London. Seat in Premium Economy was also broken with token voucher offered. Seats are old and very unsupportive and still cramped for me and I’m not even 6ft. Not worth the money.
2025-07-02,8,8,"""would fly them again to Australia""","✅ Trip Verified | ADL-SIN, on Boeing 787-10. ADL check in was chaotic. Lots of people standing around, not flying with SQ, getting in the way. Upon getting to the automated machine, SQ agent appeared. I explained to him, I’m going to a Visa required country. He listened, and excused himself to process my ticket. Upon coming back, he thanked me for waiting, and assisted me tagging my bag. I then dropped it off, and proceed to Immigration. Boarding was done professionally. Upon boarding, friendly crew member assisted me with my Carry On. Took off on time. Cabin crew professional, but nothing special. They dimmed the lights so we could sleep, and I managed to doze off for over 2 hours. SQ has a fixed back seat, but unlike the A380, much more comfortable. Landed Changi T3, and received friendly onward well wishes from the crew. Have taken SQ 4x to Australia, and would fly them again to Australia."
2025-07-01,1,1,“should bear the responsibility”,"✅ Trip Verified | My flight from Singapore to Denpasar (DPS) was cancelled due to a volcanic eruption. While I understand that such events are extraordinary circumstances, several other international airlines continued their operations to Bali on the same day. Singapore Airlines decision to cancel the flight, while other carriers deemed it safe to fly, appears to be a subjective one. Singapore Airlines should bear the responsibility for the financial losses I incurred, including the non-refundable costs for my pre-booked hotel and activities in Bali, which were forfeited. However, it refused to do so. On top of that, the lack of timely and adequate communication from Singapore Airlines is appalling. I was only informed of the flight cancellation after arriving in Singapore for my transit. Had I been notified while still in Tokyo, I could have remained there or explored alternative travel arrangements with other airlines. Instead, I was stranded in a transit city with no prior warning and extremely limited options. As a direct result, I was forced to secure and pay for my own lodging in Singapore. To make matters worse, upon the arrival in Singapore, I was met with a chaotic and disorganized baggage claim process, resulting in a 12 hour wait for my luggage. Singapore airline offered no assistance whatsoever in arranging overnight accommodation and I was left to fend for myself. After I filed a complaint to Singapore Airline, I got a email asking about my lost luggage in Bali instead of addressing the issues that I mentioned above. The funny thing is, my luggage was delayed in Singapore, not in Bali. Their staff has not only failed to identify the issue, but also outsourced their customer support complaints to a different team instead of contacting me directly. Singapore Airlines is consistently ranked among the world's top airlines, a reputation that suggests a commitment to exceptional customer service. My recent experience, however, paints a starkly different picture – one of operational disarray, poor communication, and a disregard for passenger welfare."
2025-06-30,8,8,"""was greeted at my seat""","✅ Trip Verified | Less than 2 Hours to board, flight appeared on the Information Screens. Security at Changi quick, and professional. Announcements were made, however they were inaudible, and I didn’t know what was happening. Apparently aircraft arrived late from BKK. Boarding commenced, in an orderly fashion. Aboard only greeted at the entry. Walked through the aircraft and was greeted at my seat. First time on the Boeing 787-10. Seat was fixed back, but comfortable. Pushed back, and headed out. They kept the lights full blast, and couldn’t sleep. We got served a snack, and then they dimmed the lights. Took forever to fall asleep. Woke up to a meal being served. Multiple rounds of coffee served, and felt adjusted. Landed at ADL, with SQ Staff not visible, to help find the luggage carousel."
2025-06-25,8,8,"""in the air still Gold Service""","✅ Trip Verified | Booked in January, and no solo seat available. Received information from SQ, that flight time was going to be early, due to a Heatwave on US. Coast. Arrived at check in, and agent wouldn’t check my Bag, or issue ticket for final destination. I was stumped as I had done the exact same thing, on the exact same route before. After going back and forth, she transferred me to a manager, however again he would not check me, and my bag, to my onward destination. Upon passing Security, I ran into the Head SQ Agent, and complained to her. She listened, took note of me, via my Boarding Pass, and politely told me she was going to look into it. After 60 minutes she came back, with my Luggage checked in to my onward destination, and told me I would be issued a ticket as well. Onboard crew friendly, warm, and welcoming. Took off on time, yet throughout the flight Turbulence affected all services. For Lunch they had an option, previously they haven’t. I had the Braised Chicken. Constant refills commenced, and attentive crew. IFE was a disaster, with nothing decent. Throughout the flight, drinks available, but unlike ANA no drink bar style, and you had to wait for the crew to serve you. Had the second meal, and again options, with excellent service. Arrived into a quiet Changi T3, and commenced layover. Since the Virus, SQ on the ground is a disaster, in the air still Gold Service."
2025-06-23,2,2,"""mediocre at best""","✅ Trip Verified | I flew in business class and it was mediocre at best. It did not seem like full flat seats, staff was inattentive to me, I had to ask for everything and my food was inedible."
2025-06-08,5,5,"""miles haven't been credited""","✅ Trip Verified | As a KrisFlyer Elite Silver member, I made several bookings through KrisFlyer Vroom on November 10, 2024, and processed a refund on December 21, 2024. However, it's been nearly six months, and my miles (481,292) still haven't been credited to my account despite multiple follow-ups from the airline. This experience is disappointing, especially from an airline that claims to prioritize customer focus but appears unresponsive. The situation feels unfair and raises concerns about Singapore Airlines' reliability and trustworthiness, despite its reputation for quality service."
2025-05-31,3,3,“Refused a bottle of water”,"Not Verified | Refused a bottle of water in the beginning of the fight. SQ CS confirmed me that only FC Premium economy class can have a bottle of water. Economy class only being served a cup of water. When requested a Singapore sling and you cannot have a can of beer at the same time, what’s the point of buying a SQ ticket which is more expensive than other airlines and downgrade the inflight service. Hot towel has no perfume as it was in the past year 1993. SQ food is also not delicious from SIN to CDG flight, fried fish with maizena buttery - not delicious at all."
2025-05-21,9,9,"""seat was very comfortable""","✅ Trip Verified |   Check-in and baggage drop at Cape Town were very easy and smooth. The Bidvest Premier lounge was very comfortable, with a good selection of breakfast fare. On both legs of this journey boarding was efficient and the welcome very friendly. Onboard service could not be faulted. The seat was very comfortable in sitting position, with plenty of storage, but manually activating the flatbed and sleeping diagonally detracted a bit from the experience. The vegetarian food and drink were generally good, but on two occasions very dry and rubbery vegetable wraps were served. On the first flight passengers were required to remain seated while the aircraft was serviced during a 70-minute stop at Johannesburg. Both flights operated slightly early. During the lay-over in Singapore we had a very comfortable wait in the Silver Kris lounge, and then went quickly through security at the gate. Our luggage was delivered quickly (but the Melbourne Airport customs chaos was a different story)."
2025-05-17,10,10,"""My sincere appreciation""",✅ Trip Verified | Singapore to Kolkata. My sincere appreciation to all the crew in the flight who were serving economy class. All the crew were very courteous from boarding to in flight service to de boarding. I am vegetarian and opted for vegetarian meal. Selection of array of dishes and there taste was delightful. Free in flight wifi is amazing.
2025-05-12,2,2,"""disappointing experience""","✅ Trip Verified |   I had a disappointing experience with Singapore Airlines during my recent trip from Delhi to Denpasar via Singapore. Despite requesting special assistance well in advance, confirming it through emails and at check-in, no assistance was provided at Changi Airport during the transit period. The staff later claimed that my assistance request was only recorded for the final arrival at Delhi, not for the transit at Singapore, which is when it was needed."
2025-05-08,1,1,"""lack of supervision on customer-service""","✅ Trip Verified | My flight of SQ from LHR-SIN, SIN-PEN + return leg was smooth and was treated with respectable service. However, the same cannot be said of their customer service online, both email and chatbox. Prior to my trip, I had problems activating my KrisFlyer account as it was idle/inactive for a few years. First contact to customer service was done on 18-Jan-2025. I was unable to login to my old account, and also unable create a new Krisflyer account using a new email address due to a system error. Despite following up on 22-Jan, 3-Feb, 7-Feb, there was no reply and there has been no reply to date; 08-May-2025 after almost 4.5 months. With disappointment of SQ's customer service and feeling unwelcomed, I did my booking of LHR-PEN with another airlines frequent miles program. However, the miles points were not credited although it was clearly written in my eticket. My attempt to claim the missing miles was complicated as I have not kept the boarding pass. My attempt to again reach SQ chat customer service was another disappointment. Both these encounters with customer service tells me that there is lack of supervision on customer-service ticketing conclusion and success rate. This is disappointing for an airline that is reputable for in-person service. The same level of detail needs to be done on online service."
2025-05-03,1,1,"""Very poor customer service""","Not Verified | Very poor customer service. On the outbound flight I was allowed to take a power bank but was told that the rules would change whilst I was away and I’d need permission to bring it back. I spent hours over the couple of weeks, trying to get this permission, which never came. The website contained no useful information to suggest that my powerbank was not allowed, customer services were slow to reply, and when they did the response came from a different person each time and did not answer my question, it was impossible to find an email address on the website, and it took me round in circles continuously. The online form could not be submitted from my phone (despite trying several times over several days, only sending when I eventually had a chance to get onto a laptop. Because of the slow and unhelpful responses, in the end I had to leave the power bank behind in Singapore. Since my return, the airline has been equally useless and has absolved itself of all responsibility. Exceptionally poor."
2025-04-25,6,6,""" there’s little room between each row""","✅ Trip Verified | In October 2024 I flew with Singapore Airlines return from Sydney to Phnom Phen and the flights between Singapore and Cambodia were on their new 737-MAX 8. It was my first opportunity to experience their regional business class and from row 2 - their much talked about throne seat. Despite the flight time, Male is another destination in their regional network, only this time it was a 787-10 Dreamliner. Given this is a widebody aircraft, the business class seating is 1x2x1 with the single seats on either side staggered – the front row seat is against the aisle followed by a seat against the window. I usually pre-order my meals using their ‘book the cook’ service but forgot on this occasion. That proved to be a big mistake because what arrived was so underwhelming I can’t even remember what it was. But I know I tried it and then handed the tray and everything on it back to a flight attendant and chose to sleep instead. The seat converts into a lay flat bed which was quite comfortable given there’s no bedding provided other than a blanket and pillow. But the footwell is much more accommodating than the 737 throne seat. However, there’s little room between each row, so business class is tightly packed and on a full flight like mine the cabin is no a haven in the sky. Despite that, I managed to get about 2 hours of much needed sleep. Then on arrival, the rather expensive bottle of champagne I purchased on board was seized. I was unaware that you require a license to bring any alcohol into the country; even if it’s just 1 bottle. It would have been nice if the crew said something before, they processed the sale. Did the flight experience live up to my expectations? – I would have to say no. Sure the aircraft was fairly new, but then it’s hard to guess the age of their planes from the inside. I should rate this experience as 5 out of 10 because Singapore Airlines can do much better and usually do. But I’m feeling generous so I’ll give them 6"
2025-04-25,1,1,"""found my seat area dirty""","✅ Trip Verified | I recently flew Business Class on SQ612 from Singapore to Incheon on 9 April 2025, and the experience fell short of what one would expect from a premium airline like Singapore Airlines. Upon boarding, I found my seat area dirty. I raised the issue and submitted photographic evidence, expecting it to be taken seriously. The initial response was a generic apology, and after pushing for escalation, I was offered a SGD100 KrisShop voucher, an insultingly small gesture. This isn’t just about cleanliness; it’s about how customer concerns are handled."
2025-04-19,9,9,"""one of the best airlines""","✅ Trip Verified | There can be no doubt, Singapore Airlines is one of the best airlines in the world. From the moment you step on board you are greeted a team of people and each one acknowledges you and you always see a smile. A flight attendant came and introduced herself to me saying she was responsible for taking care of me for this flight and to let her know if I there was anything I needed. I had taken advantage of their ‘book the cook’ service and chosen my meal in advance. But I couldn’t remember what it was I ordered, and was reassure if I changed my mind that wasn’t a problem I was free to choose anything for the flight menu. While the method of changing the chair to a bed on their 777 is unconventional, it’s damn comfortable and easy to get a few hours sleep. The pillows and bedding are a real treat. I find that Singapore Airlines flight attendants have an ability to match the level of service to an individual passenger’s needs. The bathrooms are always clean, and you can enter without fear of what might await you. I wish the airline would provide business class passengers with sleeper suits as other airlines do. On this, they are at a competitive disadvantage. I take my own (typically one from Qatar Airways) and it doesn’t do Singapore Airlines any good to have a passenger walking around in clothing blazoned with a competitor’s logo."
2025-04-18,6,6,"""terribly designed business class seat""",✅ Trip Verified |   London to Singapore business class on the A380-800. Marking this rating down due to a fatal flaw in the terribly designed business class seat which is truly awful if you want to try to sleep! While it’s a flat bed you are forced to sleep diagonally with very narrow footwells so that if yiu want to change position to lie on your side then your otherside it’s impossible! It’s to restrictive to move so you’ll hardly get any decent sleep unless you have consumed large amounts of alcohol from the great choice on the wine list…whoever designed this seat needs to be fired! Apparently talking to one flight attendant they did say there’s a refit of new seats & interior on this aircraft planned but wasn’t sure when. Cabin Crew were fabulous as you’d expect in serving our needs & was nice to engage in conversation with a couple of them which was very welcoming indeed. Food was superb & every dish we had was delicious & drink choices again excellent. Forget the WiFi as it’s doesn’t work so save your money & getting frustrated. IFE was good quick responsive touch screen & easy to navigate. Definitely recommend this airline but at this time avoid the A380-800 business class seat if you think you’ll get a good nights sleep & opt for there 350 or 777 aircraft.
2025-04-18,6,6,"""very mixed experience""","✅ Trip Verified |   Flew on SQ228; very mixed experience. The cabin crew were extremely good, and efficient. The food however was not up to standard. My wife and myself had diffent meals and we both thought it was poor. Also l am not a fan of the seat configuration. The storage areas are really good, however unless you are lying completely flat you are forced to sit on an uncomfortable angle to stretch your legs out."
2025-04-17,9,9,"""remains a reliable choice""","Not Verified | I recently flew on Singapore Airlines from Hong Kong to Singapore, and the experience was largely pleasant, reaffirming the airline’s reputation. Check-in at HKG was smooth, with efficient staff and minimal queues. Boarding was well-organized, adhering to priority groups, though the process felt slightly rushed due to a tight schedule. The A350-900 was clean and modern, with comfortable economy seats offering decent legroom. The cabin crew was attentive and polite, providing warm service throughout the flight. Noise levels were low, contributing to a relaxing journey. KrisWorld’s entertainment system had a great selection of movies and music. However, the touchscreen was occasionally sluggish. Meal service was a highlight, I opted for the seafood pasta, which was flavorful and well-presented. A small snack and beverages were also served, with a good variety of options. The flight departed on time and arrived early, which was impressive. Turbulence was minimal, and the captain provided clear updates. The only downside was the slightly cramped seating, which is typical for economy class on long-haul configured aircraft. While the seat space could be better, Singapore Airlines remains a reliable choice for this route. Would fly again for the service and punctuality!"
2025-04-17,9,9,"""experience was very enjoyable""","✅ Trip Verified | Once I arrived at the check-in counter, a friendly smile greeted us. When I boarded the plane, I found that it was an old plane, but things inside were excellent. For instance, the seat was a bit narrow but I could comfortably sit. Cabin crew were polite. The food was delicious and a variety of drinks to choose from. There was not many movies to watch I linked to the WiFi. The experience was very enjoyable."
2025-04-10,9,9,“It all came to an end too quickly”,"✅ Trip Verified | Having last flown Singapore Airlines more than two decades ago, I was enthusiastic to fly again in their A350, albeit a short flight from Bangkok to Singapore. It began with a speedy Business Class check-in, with instructions to follow the signs to the SilverKris Lounge. Through Fast Track security, I headed towards the Gate 7 area, which was a fairly lengthy walk. Boarding was efficient. The first thing that impressed me was the gorgeous look of the cabin. It appeared in pristine condition. The cabin colour scheme of shades of mauve and light bluey-purple looked impeccable. Laid out in a 1x2x1 arrangement, this was a long-haul seating aircraft, operating on short-haul regional flights (sadly in Europe we have to contend with an 18-inch wide seat and 30-inch pitch, and no IFE). All the essential features of flatbed seating on this A350 were there. The seat functions on the side of the seat worked smoothly and effortlessly. A large pillow and blanket were placed on the seat. And on the side, was a small locker containing USB and power points, along with a menu and headphones. The pull-out mirror was a nice touch too. Preflight soft drinks came around, and requesting champagne, it was promptly served soon after. Just before pushback, hot towels were provided, and the safety video began with instructions to put on the 3-point seat belt (which has the shoulder strap). Once at cruising height, the breakfast service began. Being a short duration flight, the meal was served on a single tray. I was addressed by my name, and so opted for the Seafood Pad Thai, which came with prawns, scallops and fish cake - absolutely delicious. Without requesting, I was served with more champagne, followed by coffee. The touch-screen IFE worked well, and I noted a good selection of some of the very latest movies. I assumed that this was the same on all flights, as it wouldn't be possible to watch a 2-hour movie on a 2-hour flight. The headphones were a tad heavy and did not feel too comfortable. Overall, although the crew were non-engaging (short flight), the service was friendly and carried out with precision. It all came to an end too quickly, and I hope my next flight with Singapore Airlines will be a 'proper' long haul."
2025-04-08,7,7,"""below average pitch and recline""","✅ Trip Verified | Check in at Istanbul airport very fast and friendly with nine check in counters in operation. Boarding well organized. Both flights were on the quiet A359. Food and service on both flights decent, IFE ok, and WiFi rather mediocre. The seats are tight with a below average pitch and recline. Both flights on time."
2025-04-06,5,5,"""no dining on demand""","Not Verified | Changi Airport looking dated, but the SQ lounge was outstanding. Big working areas, excellent shower facilities, nice bar, plenty of good tasting food, spotlessly clean, good atmosphere. The business class seat lounging and sleeping positions are not comfortable, and the seat’s controls did not work quickly. Difficult to use power outlets, complicated storage areas, sleeping in a diagonal position with very small foothole. The IFE feels old with limited choice. No live TV. Worst deterioration when compared to their past offering, was the food & beverages. Limited choice, main course tasted bland, and premium drinks served in small soda-type glasses, no dining on demand. Luckily the complimentary wifi worked well."
