date_published,rating_value_10,rating_value_5,title,body
2023-07-17,9,9,"""Service was excellent as expected""","✅ Trip Verified | SQ Silver Kris Lounge in Changi T3 was as good as normal, with excellent food choices and good seating. The flight itself was uneventful, despite a slight delay on departure. The flight was quite bumpy for sometime over Japan, which was expected and announced by the captain. Though this had nothing to do with the airline, I realized that American carriers tend to change route and altitude when encountering turbulence, while Asian carriers seem just to go through that, and I experienced that quite consistently. I ordered my meals through book-the-cook, and the Boon Tong Kee chicken rice was underwhelming, while the lobster thermidor was nice. Service was excellent as expected. Wi-fi was complementary for J passengers, and it worked quite well."
2023-07-16,6,6,"""not as good I was expecting""","Not Verified | I was looking forward very much to the experience on Singapore Airlines, and even more so, the A380. I was in the bulkhead seat in Premium Economy, so the very first row on the lower level. It was a nice smooth flight, The IFE was adequate, But I was a little disappointed with the level of service. I've always heard about how attentive ""The Singapore Girl"" (ie.flight attendants on SQ) were The service was far from the worst I have ever had on an airline, but not as good as I anticipated. Maybe I was comparing it to the absolute best service I have ever had on an airline I flew on my last overseas flight, a Taipei-based airline. Don't get me wrong, It was not bad at all - just not as good I was expecting."
2023-07-09,2,2,"""ask my wife to do it by herself""","✅ Trip Verified | We had this unpleasant experience while flying with Singapore Airline SQ 622 on July 9th, 2023 at 13:55 from SIN to KIX airport. One of the staff at the plane door who supposed to help my wife to cover the baby stroller with a plastic bag refused to do the job with ours and ask my wife to do it by herself. We saw him covered other's baby stroller with a plastic bag in front of our eyes but refused to do the same thing with ours. This is unacceptable and very rude."
2023-07-04,10,10,"""I was pleasantly surprised""","✅ Trip Verified | My first time on a Singapore Airlines flight and I was pleasantly surprised by the quality of the gluten free meals offered, the variety of inflight entertainment, the excellence of service, the continuous cleanliness of the toilets and just the overall ease of boarding, flying and of course the airport!"
2023-06-28,8,8,"""In-flight service was excellent""","✅ Trip Verified | We did not receive much assistance on the Noi Bai side, but it was good on the Changi side on arrival. The Song Hong Lounge was decent, with good food and nice view of the apron. Singapore Airlines used an A350-900 for a 3-hour flight, which was amazing. Our book-the-cook meals were decent, though not as good as I would like. In-flight service was excellent."
2023-06-27,9,9,"""really nice for a sub 2-hour flight""","✅ Trip Verified | The Silver Kris Lounge at SIN T3 was big and nice. However, finding good seating during peak time was still challenging. The lounge offered good selection of food including Western, Chinese and local options. The flight was on SQ regional A350-900, which has similar flatbed seats as other premium airlines' long-haul equipment. That was really nice for a sub 2-hour flight. In-flight food service was very nice for such a short flight."
2023-06-27,7,7,"""In-flight service was quite nice""","✅ Trip Verified | I was supposed to fly on SQ25 to Singapore via Frankfurt. The flight was canceled after we are at the gate for 4 hours past the departure time without any explanation. Being flown with SQ for many times, I suspect this had to do with JFK rather than the airline. However, they should still bear the responsibility for addressing to their customers. We were rebooked to the non-stop SQ23 to Singapore the following day. We ended up on the A350-900XLR, which was quite nice, but I still prefer their A380. Due to the flight change, we did not get our book the cook meals. In-flight service was quite nice as expected from SQ."
2023-06-23,2,2,"""needed a GF Vegan meal""","Not Verified | When booking my flight I advised the travel agent I am a coeliac so need a gluten free diet, but I also have allergies to dairy and egg, so needed a GF Vegan meal, thinking this would be the easier option. When I boarded the flight was advised I could have either the GF meal or the Vegan. As the GF had dairy in it was not suitable, and the Vegan has gluten in. They advised me to contact the staff at the airline when I arrived to organise the return flights. I had fruit which the lovely cabin crew sourced from business class and a bag of potato chips. I contacted our travel agent to be informed I was listed for the GF vegan meals. So contacted Singapore airlines, the person I spoke to said it was not acceptable that I needed a combination of the two they only dealt with one allergy per person! I would need a Drs certificate if I had to have it. He then told me to take my own food. Which I ended up doing, but the amount of room available on the plane is minimal and awkward to get to bags when you’re elderly. Again the crew managed to source some fruit for me."
2023-06-20,6,6,"""not professional behavior on the part of SA’s FAs""","✅ Trip Verified | I find it appalling that SA’s flight attendants allow children seated in Economy to come visit their parents in Business. I didn’t pay in excess of $5000 per ticket to be sharing the aisle with other people and be irritated by the noise produced. I was seated in 17D, the person in question was in A17, his child came at night and they played loud games, I was hearing the child’s talking and laughing through my sleep. I believe that it’s not professional behavior on the part of SA’s FAs and they shouldn’t be allowed to place parents and minors in different classes, let alone let the visitors in, no matter what age. I will not be flying Singapore Airlines any longer unless this problem gets fixed."
2023-06-16,5,5,"""Worst business class seats""",✅ Trip Verified | Worst business class seats. Why does SQ still have business class seats where the place to put your feet is not in line with the rest of your body? And the transition from bed to sitting is NOT a button push. Rather: Get out of seat. Flip seat with handles. Get back into seat/bed.
2023-06-16,7,7,"""They still have high standards""","Not Verified | I flew to Singapore from London Heathrow in economy class on the SQ319 Airbus A380. Flight left and arrived on time. The positives: Flight crew were pleasant, friendly and polite. They still have high standards and give you a lovely welcome when you arrive onboard. Seats were fairly comfortable and enough space to stow your belongings and move around the cabin. Was given a sleeping pillow and a blanket. Negatives: Singapore Airlines have cut the quality and diversity of food and drinks that they have on offer. It was not the standard of food previously experienced on SQ flights. Presentation not good - now just mediocre. No juice, water or alcoholic beverages offered when you first get on the plane. No menu. Toilets weren’t clean and very small. You no longer get an amenity kit with toothbrush, eye shades, ear plugs, or socks or a newspaper. Bring back the hot towel service."
2023-06-12,6,6,"""seats were hard and uncomfortable""","Not Verified | We travelled on Singapore Airlines many years ago in economy class. We travelled this time in business class because of the long flight. The service provided on the latest trip was very good, however we did pre order some food that disappointingly did not arrive but the flight menu options were good. The biggest problem we had was the seating arrangements in business class, the seats were hard and uncomfortable. A weird cover was provided to increase comfort. The problem was no calf support and any way shape or form, this has a big impact on leg comfort. There was a flap thing that came out but onlyto the back of the knee which was so useless. The second problem was there was no tunnel to slide into for a flat sleeping position. Instead of the tunnel there was a shelf that had to be pulled out but this was to the side of the seat. Instead of laying flat which we were supposed to achieve the side shelf meant sleeping at an angle which was so uncomfortable. I do not understand why Singapore Airlines would ever believe that their seating arrangements would provide comfort. Cost is huge for these additional benefits for both comfort and health as older people travelling. The outcome is of course we won’t be travelling business class with Singapore Airlines again which is really sad."
2023-06-09,9,9,"""special praise for Air Stewardess""","✅ Trip Verified | I would like to give special praise for Air Stewardess Nurul who served me at the Premium Economy cabin. She has been very proactive in asking and suggesting drinks and snacks to eat throughout the trip. Very friendly , good listener and very conversant."
2023-06-07,2,2,"""another 6 weeks for the refund""","Not Verified | Not such a great way to fly. I booked an air ticket and the flight departure timing was brought forward by 7 hours. We had the option to accept, reschedule or cancel to get a refund. I chose the third option but was put thru multiple individuals who do not seem to know what they are doing (each contradicting the other) but eventually, I received an email to say the refund was being processed and it would take 6 weeks. Well, it was the 6th week yesterday and I wrote in to enquire, only to be told they will be processing it now. Today I received another email (a proper refund notice this time) to say it will be another 6 weeks for the refund to come thru."
2023-06-01,6,6,"""rather disappointed""","✅ Trip Verified | The First Suite has a lot of space and a lot of gadgets, and some fellow travelers might be impressed. I was rather disappointed by the outline and design of the suite. The bed is not in the direction of the travel, but across the suite. It is narrow and very hard. If the bed is in the non-sleeping position, then it just hangs at the wall to the next suite like a white chunk of wood. In order to dine from the table one has to turn the chair towards the aisle, or towards the fellow traveller in the opposite suite (which is not very private, when, as in my case, the door does not close properly). On both legs to and from Sydney there were technical issues in the suite: either the door could not be closed properly, or the entertainment system did not work at all, or not properly, the seat belt did not fit into the mattress, etc. To add as well, that Singapore Airlines seems to have cut the quality and diversity of the food and wine on offer. Only the Caviar was nicely presented and met the quality standard of First Class food. (On my way to Singapore I have enjoyed Swiss and their First Class product. For a frequent traveller their product was First Class all over, (only with the exception of the bathroom)."
2023-05-30,9,9,"""a very nice experience""",✅ Trip Verified | I flew with SQ to and from Auckland on the A 350 - 6 May and 22 May. Both flights were a very nice experience. All flight crew very pleasant and helpful and an especial thanks to Edward - senior flight crew on the outward bound flight from Auckland to Singapore. He epitomised the high standards the SQ expect from their staff. Seats fairly comfortable but slightly awkward layout in the lie flat mode with foot well at an angle. I ordered book the cook and the meals were delicious apart from the Thai Red curry served on the Auckland Singapore leg which was reminiscent of boarding school stew with no flavour. Toilet cleanliness maintained to a high standard. However on both legs the sleeping pillow smelled sour. I am sure the pillow cases were clean but the actual pillows require regular washing as well. Please bring back the hot towel service .
2023-05-30,7,7,"""provided the very best""","✅ Trip Verified | From start to finish, the service, food, and cabin crew provided the very best. There are only 4 first class seats on the 777 and as expected more than enough space to stow belongings and move around the cabin. The cabin crew were attentive without being intrusive. Only two negatives. The toilets are tiny and one almost needs to be a contortionist to get changed into pyjamas and the seats although very wide do not have much padding or recline so are uncomfortable for sitting in for long periods of time. In the lie flat mode a good mattress was provided which made the bed comfortable. Food was exceptional and beautifully presented. Only hope that the hot towel service makes a comeback."
2023-05-30,10,10,"""The suite very comfortable""",✅ Trip Verified | Suites on the A380 are in terms of comfort and layout 100% better than on the SQ 777 although the high standard of service remains the same for both aircraft. Lovely welcome from the staff and the cabin crew are exceptionally well presented in grooming and demeanour. I also am appreciative that I was addressed by my title and surname as I am of that older generation that appreciates such niceties. The suite very comfortable and lovely to have a seperate bed. The two bathrooms are spacious with many amenities and the food glorious. A very special thank you to senior flight crew Tasha (from Indonesia) who was so friendly and epitomised all that is excellent with SQ and also to Kelvin whom I think was the flight manager.
2023-05-29,5,5,"""totally disappointing""","✅ Trip Verified | The A380 layout is nice in appearance, but I have never experienced a business class seat that requires you to lay at an angle in order to use the footrest space. The seats were the hardest I have ever encountered in business class & very uncomfortable. My seat on my outbound or return flights operated properly and I had to call for flight attendant assistance numerous times when the seat buttons simply failed to work. No amenity kits were provided, which was a 1st for any business class flight I have experienced. You had to request eye shades, ear plugs or slippers, with razors, combs, toothbrushes etc. available in the restrooms. It was a significant time after boarding before any drinks were served but it was only juice or water & no champagne was offered. Food in both directions were mediocre at best. Wine offerings were insulting, flight attendants pour no more than 2"" into the small glasses, since that was the serving in the 3 requests we made. The Cabin Staff were polite, courteous & professional, but not nearly as service oriented as Qatar or many other 5-Star airlines. We found it quite telling that SG used the Air India Lounge for their business class passengers at JFK, even though Air India is regularly rated as 1 of the lowest quality airlines Worldwide. At least at FRA they used Air Canada's Lounge which was a major improvement, but there was zero preference for business class passengers at FRA boarding. Overall, we found them to be totally disappointing and it failed to deliver the same quality business class service I have had on many other carriers."
2023-05-28,1,1,"""my luggage was damaged""","✅ Trip Verified | Very slow and poor customer service from Singapore airlines. I flew from Johannesburg to Bangkok on 20/05/2023. Upon arrival, I noticed my luggage was damaged (the bottom of my bag was broken and the wheel broke off). I contacted Singapore airlines for assistance. they replied with several different emails requesting documentation and pictures which I sent. I am flying back to Johannesburg tomorrow (29/05/2023) without a bag I can use. I've indicated the urgency to Singapore airlines but theres no regard for this."
2023-05-26,1,1,"""Compensation should have been upgrade""","✅ Trip Verified | Left 2.5 hours late and we almost missed our Singapore Airlines connecting Flight as the Skyrail between terminals was not working and we had 25 mins to get from terminal 1 to Terminal 3. When we arrived at the gate we were told to go to, By Singapore Airlines Sign as we Departed our flight. The gate was shut. We found out by a passerby that the gate changed 2.5 hours previously and was now another 10 mins further on, we made it but our luggage did not. We got on plane to find we were seated separately. We booked in with staff together & we arrived together. We got to Manchester and were told luggage would be about 4 days. on the 5th day we went to the Airport 2 hours later we emerged hopeful & our baggage arrived on the 6th Day only to find the suitcase with missing roller & damaged. We had to use our own money to buy underware, toiletries, clothes for 2 people & a suitcase. This will be refunded but in the meantime we had to use our own money. I get to the airport to fly out this morning & there is no register of my Vegetarian meal on departing flight and I did enter it at the same time I did the previous flight. We lost 1/3 of our holiday 100% due to delays. We were allowed to go to the Business Class lounge on the way out as compensation, I should be grateful for Vegetarian Sausages before I leave & a glass of Wine. Compensation should have been upgrade to business class. We paid extra Premium Economy as we thought it would be more comfortable and relaxing but couldn't have been worse."
2023-05-26,2,2,"""Very poor service""",✅ Trip Verified | Very poor service from flight attendants. There was no menu and couldn’t understand what the attendants were offering for a meal because of the mask. Food was served few hours into flight. Wine selection was bad. Never saw the flight attendant after the first meal on an 18 hour flight Was woken up 8 hours into flight to ask if I needed lunch Never saw the flight attendant after that. No toiletries provided.
2023-05-22,8,8,"""Service and crew were excellent""","✅ Trip Verified | Always loved Singapore Airlines and flew them in all classes many many times. On this occasion flew them on a night flight from Frankfurt to Singapore. Aircraft got switched from an A350 onto A380 on the day and generally that is a great thing, as always love an A380. However my bulk head seat was not the same/good option as it was on the A350. A380 Business Class bed is rather hard, so not the most comfortable to sleep in. In that regard prefer the A350/777 and the older A380s much more! I ordered a Gluten free meal and unfortunately the dinner main was pretty much inedible. Which is a shame. Breakfast was fine however. Service and crew were excellent as usual."
2023-05-22,5,5,"""Cabin staff didn't seem very happy""","✅ Trip Verified | HND-SIN was pretty poor. Cabin staff didn't seem very happy. Virtually had a bread roll thrown at me. Meal (only one on a 7-hour flight!) was not hot enough - cold in places - and tasteless. Bag drop at HND was a disgrace - the 'online check in' queue moved faster than the other one - with only two desks open it took 40 minutes. There seems to be no benefit or reason to checking in online. The Singapore Airlines app is not very good either. SIN-LHR-SIN were better. Good cabin staff and service, and the food was hotter and better. Bag drop at LHR was smooth. Boarding well organized and smooth. The pilot explained a 'touch and go' landing at LHR well and there was no panic, but it did mean we were 20 minutes late - and we were already a little behind schedule. Singapore airport is a pain as every gate as its own security check, which took quite a long time on the outward trip. I prefer airports where no further checks are needed for transit passengers. SIN-HND was better and the meals were quite good, as was the service. Plane was old, though. Booked the tickets eight months in advance, and they were never cheaper, yet they were only reasonable. Wi-Fi is only available if you register your Kris Flyer number before you board, which I couldn't because I'd already registered by ANA Mileage number. Why have this restriction?"
2023-05-22,4,4,"""not recommend this airline""","✅ Trip Verified | We used this airline recently for our trip to India and will not recommend this airline . Both ground service and cabin crew service not very friendly neither very welcoming. For a 16 hour straight flight you get two full meals and the snacks are just some nuts. No sandwiches are offered unless you ask for it. Meal services are also different, kids are not served first always.(sometimes yes they do). Meals also has no varieties like others like no fruits or yogurt. We were very excited when we got the tickets as it was our first time using this airline but will not use in the future."
2023-05-20,4,4,"""wide ranging cost cutting exercise""",✅ Trip Verified | What has happened to SQ. I believe since COVID they have embarked on a wide ranging cost cutting exercise focusing on charging as much as they can for flights while skimping on what they offer customers. It starts with the lounge which resembles a crowded bus station where you need to search for a seat. Bring back the old lounges! On the flights there are no hot towels. No newspapers. No nuts before dinner. No amenity kits. No mattresses. Food is mediocre. The only thing that hasn’t changed is the first class cabin crew. I have been a flyer with SQ for over 25 years and have never known it so bad.
2023-05-14,4,4,"""the service and staff was mediocre""","✅ Trip Verified | It's been a long while since I've flown Singapore Airlines, and they've consistently received accolades for their service, even in Economy Class. However, I was extremely disappointed with their service, especially the catering on board a 7hr flight from Brisbane to Singapore. The aircraft was a new A350, and I had a nice bulkhead seat which allowed me to stretch out. The inflight entertainment was quite good, and the redeeming factor for this flight. Unfortunately, the service and staff was mediocre, and not warm or approachable as I remembered. The food was just awful, especially for a medium haul flight, which consisted of meat and veggies just piled on top of gooey rice. Not even a salad or appetiser (which they used to serve), and a cold bun (there was an ice cream dessert). The washroom was filthy, wet and sticky floor, toilet paper in the sink, even just after the first hour or so, and clearly the crew did not pay much attention to cabin cleanliness (unlike other airlines, where I've seen crew inspect the facilities and do a bit of cleaning). Check in and baggage delivery was fine at the airport (but this may be as I have priority status). But overall, very disappointed with how the quality of service of a reputable airline has declined so much."
2023-05-12,10,10,"""helpful, courteous and polite""","✅ Trip Verified | SQ38 SIN-LAX on May 9th on a 359. This is the longest leg of return trip from SE Asia with Hubby. The flight is full, mostly with couples and single travelers. In Singapore there is another security check at the waiting room gate, and most travelers didn't realize they have to go through it to go to the waiting room. Many of the these are the infrequent or first time travelers who don't know that they have to scan their electronics and take off their belts jackets and caps off again, making a long line that moved very slow. Boarding was done by zone and was quite orderly, however there was still a line of latecomers going through the waiting room gate check when the boarding begins. This makes the flight have to leave 25 minutes later than scheduled. The FAs were all wearing masks as per their company's precaution and safety awareness policy. However they were all still very friendly, personable, helpful, courteous and polite, and dedicated in giving their best service. The service started as soon as we reached cruising altitude, started with a drink service then dinner, and a second drink service after that. Many of the travelers are Indians so the FAs quickly ran out of the vegetarian meal option that my Hubby was interested in and he had to settle for chicken with pasta, which is very good. After dinner the lights were turned off so people can sleep, but we were told that snacks is available in between the dinner and lunch that will be served 2 hours prior to landing. The cockpit crew communicated well, explaining about the flight plan before we leave and updating us of LAX condition before our descent. They were very good in identifying possible turbulence ahead so we always get notifications to fasten our seat belts before it hits. Restrooms were always kept clean and the FA frequently refresh them with deodorizer. The entertainment system is amazing and full of latest movies as usual, and it's hard to pick and choose what you want to watch next. As with our previous SQ flight, this aircraft has large 11"" touchscreen with a USB ""A"" that works, and the headphone plug requires two prongs, however it still works well with my wireless headphone adapter which only has one plug. The seat slides forward as you recline so it is a better position to get some rest in a semi reclining position. The lights were turned on just before drink service and lunch was served, and the FAs worked hard to serve us and get everything done before we start our descent into LAX. We arrived at LAX 1 hour ahead of schedule thanks to the strong tailwind. During a bathroom break I casually mentioned to one of the FAs that the day before was my birthday and this trip is to celebrate both our birthdays and our 10 years anniversary. After lunch suddenly we were given two cakes with two glasses of champagne with a ""happy anniversary"" written on the plate, and a card from the crew! Wow, I didn't see that coming! Shout out to all SQ38 crews on May 9th 2023! Thank you for your kindness and gifts!"
2023-05-12,10,10,"""another great flight with SQ""","✅ Trip Verified | SQ937 DPS-SIN on 05/09/23 as first leg of return trip from SE Asia with Hubby. The flight used a 78X and it was full of vacationers mostly families, and many of them may have not traveled by air before so it takes time to line everybody up for boarding. Boarding was done by zones and it was a good thing that boarding time was an hour before departure time, because ground staff had to weed out people lining up not in their boarding zone. The flight attendants were as usual with SQ, very nice courteous and polite, and very helpful even with the most clueless passengers. Soon we were all seated and left just 15 minutes behind. Service started as soon as the plane level off, and the FAs were very efficient yet friendly and communicative. One of them even gave us our second round of Singapore Sling without us asking, and we really appreciate him! For a short 2 hours flight the FAs were able to do two beverage service and a meal in between, and that must be quite a challenge for them! The meal offered are using their new sustainability concept, with paper containers and bamboo cutlery so they can be recycled. We found this an excellent proof that SQ is serious in their effort to go green and reducing use of non-biodegradable materials like plastics. The paper container is quite sturdy and even retains good heat for my Nasi Lemak. The portion was a bit smaller but the taste is just the same compared to past ones I had on SQ. The FAs on this SQ flight wears the mask at all times, as part of their company's safety awareness effort. The cockpit crew gave information about the flight plans before we leave and current Singapore condition just before we start our descent, and we arrived just 10 minutes behind schedule. Overall this is another great flight with SQ."
