date_published,rating_value_10,rating_value_5,title,body
2019-11-17,10,10,"""maintained its excellent standard""","✅ Trip Verified | Singapore Airlines maintained its excellent standard on this 5-hour flight. A pillow and blanket were available on the seat when we boarded. The cabin was clean and despite the flight being nearly full, it was still a very good experience. Furthermore, the legroom of the seat was excellent and the seat was very comfortable. The tray table was wide and sturdy, and there was sufficient storage with a nice pocket for my phone and nice pouches for me to put things in. There was a wide selection of movies available as well. The cabin crew were as usual, excellent and provided great service. A meal service was provided for this red-eye flight, and my Chicken meal was good. Despite being delayed on departure, we arrived in Shanghai on time. SIA’s newest product on the 787 is indeed very well designed and the flight was very good overall."
2019-11-16,5,5,"""decor bland and functional""","✅ Trip Verified | Melbourne to Singapore. First I flew in SQ and experience the lounges in both Sydney and Melbourne this month. I must say it's the worst experience I have ever had. Running out of food, decor bland and functional (barely) at best, staff sombre and angry. It is tragic for SQ to sell itself as a premium airline with such tired conditions. All in all disappointing experience on SQ"
2019-11-15,9,9,"""premium economy is a good choice""","✅ Trip Verified | Frankfurt to New York. My experience on this flight was good overall. Check-in, boarding processes were well organized. Food tasted better than business class offerings on some other airlines. Singapore airlines' premium economy is a good choice for flights between 6 and 10 hours."
2019-11-13,6,6,"""with low cost carrier Scoot""","✅ Trip Verified | Sydney to Trivandrum via Singapore. I booked this flight under SIA and was not expecting they would code share a full service fare ticket with low cost carrier Scoot on SIN -TRV sector. SIA is charging the same amount in fare as compared to previous years while they code shared with Silk Air which is a full service airline. There was no option for basic seat selection and was served instant fried rice topped with meat and peas. They served a bottle of water and no option for tea/coffee or soft drinks. Silk Air served beer and spirits . I understand why SIA is resorting to this sort of behaviour at the expense of passenger comfort, profits and making use of the monopoly they enjoy on this route. Shameful for an airline which advertises itself as ""Great Way to Fly"". SIA should make amends to passengers who were made to fly on Scoot SIA - TRV route."
2019-11-10,8,8,"""appreciate the staff service""","Not Verified | Melbourne to Mumbai via Singapore. I appreciate the staff service and co-operation. I lost my wallet on airport and airline staffed approached me and offered their best help. I would like to thank them especially Mr Ebrahim, one of the crew members, who updated me with each and every action that was taken for searching my wallet."
2019-11-10,9,9,"""met my expectations fully""","✅ Trip Verified | Manchester to Brisbane via Singapore. I've been intending to try Singapore Airlines for some time and was keen to know if the reality matched the star rating. The quality of the product, seat and service onboard and on the ground met my expectations fully. The only slight quibble, and it is very slight, is that no amenity kit or pyjamas are offered in business class. The usual amenity kit contents are available as individual items, however in the bathrooms. The seat was excellent, food met expectations and was better than many others. The IFE offering was a little disappointing however and they ought to make a bigger effort here."
2019-11-09,10,10,"""needs competently met and exceeded""",Not Verified | Los Angeles to Singapore. Our outbound flight experience was enhanced and made pleasant by the service and conversation with Kelvin. Our needs were competently met and exceeded. Our return flight was equally satisfying by the personal attention shared to us by Beverly. A lengthy flight of 15.5 hours felt relaxing and enjoyable because of her care in customer service. Amazing comfort and travel. We will gladly recommend Singapore Airlines.
2019-11-09,6,6,"""barely offer water to people""","✅ Trip Verified | Colombo to Sydney via Singapore. I thought I loved Singapore airlines and it seemed okay (not great) when I flew from Sydney to Colombo. But then I had the rudest experience when I travelled back to Australia. The air hostess in my cabin were pretty rude. It's like they just want to get their job done and they don't care about the people. I've travelled a lot on different airlines and Ive never been treated so rudely. They barely offer water to people. I wanted the chicken as i do not eat beef and they wanted me to have the beef and when i said i can't. They took a long time (everyone else had finished eating) to find me some fish meal that wasn't on the menu. I was grateful. However, that nice gesture didn't last for long. I literally opened my food to eat and the air hostess just dumps an ice cream (magnum) on my tray. Everyone else was happy to get theirs, but I had only begun (not even) eating! I had to gobble my food and eat the melting ice cream! And on this very flight the air hostess serving me just took the cup in which there was apple juice remaining and poured me water. I also asked them for water when leaving the aircraft and they hesitated and made me stay the whole time until everyone left to get me the water (which was also a very small cup). On a good note, I must say the flight is comfortable and good. And the food is acceptably good. I'd ask everyone who loves staying hydrated on flights to make sure they fill up their own water bottles."
2019-11-07,10,10,"""Great service in business class""","✅ Trip Verified | Singapore to Amsterdam. Great service in business class. The seats are comfortable and the sky bed opens flat for a good night’s sleep. The timing of this flight is great because it leaves at midnight and by the time dinner is served, it is between 2 to 3 am. This gives some adjustment to jet lag and arrives in Amsterdam in the morning. I started sneezing due to sinuses and the air stewardess promptly gave me a large pack of tissues, which came in handy. The entertainment selection was good - although I think Qatar is more current in terms of movie selection. Book the cook never fails. My bak chor mee came with vinegar on the side. For breakfast, I had the healthy red rice fish porridge, which doesn’t sound great but is really amazing. I started off to a busy work day well thanks to Singapore Airlines."
2019-11-06,9,9,"""Overall, a good flight""","✅ Trip Verified | Perth to Singapore. A pleasant flight with decent leg room and good entertainment. Meals are not bad, although this is my 3rd time having the same dish in the last month - not sure how often the menu changes. Service is good. There was 2 pre-meal drinks runs plus the lunch, followed by after meal drinks. Overall, a good flight for 5 hours - although it was starting to get a bit uncomfortable by then."
2019-11-06,6,6,"""crew were not efficient""","Not Verified | We flew Singapore Airlines business class on an A350 Brisbane to Tokyo via Singapore. The meals on the Brisbane to Singapore were as normal not interesting but the Singapore Tokyo flight the bento box was 5 star. The flight crew were great. The Osaka flight on a B787 again the bento box was 5 star and all the crew helpful and understanding to everyone. The B787 in business class the seats were smaller than usual and the plane was noisy than the A350. The flight home Singapore to Brisbane, a passenger heard the crew talking that they rush the meals and turn off the lights. Well after take-off they were no drinks supplied but a rushed meal service which was not interesting (why do they not do a meal service that they do from other capitals). They did not even supply bottles of water after the meals service like on other flights. This crew were not efficient."
2019-11-05,8,8,"""a pleasant experience""","✅ Trip Verified | Frankfurt to New York, everything was organized and on both way aircraft was spotlessly clean. A380 configuration offers privacy even in economy class by dividing the cabin into sections. I would recommend the upper deck because of seat density and less engine noise. The legspace is okay but then I am a tall person. The cabin crew were excellent and the food served was of good quality though I believe they should make the main course portions larger, as EK does. Nothing was too much trouble for cabin staff and they made flight a pleasant experience by looking well after us. This flight reiterated my belief that SIA is the best!"
2019-11-02,1,1,"""not recommend this airline""","✅ Trip Verified | London to Christchurch via Singapore. London to Singapore great service, enjoyable trip. I cannot say the same about Singapore to Christchurch. I had a 12 hour stopover in Singapore, loved the Silver Kris Lounge. Had a long walk to gate D10 but was good to shake off a little fatigue, but I was more than ready to sleep. I was most impressed with the 19K cubicle but saw no bedding. After takeoff I asked a hostess where do I get a blanket?"" she reach up and seemed to grasp one from somewhere. I had a fitful night and Journey with just a blanket and the cushion that was on the seat and could not settle. When the lights came on for breakfast I saw the guy across from me, fold up his bedding and seat! I asked the hostess why she had not showed me how to operate the bed, she replied ""its on the Video""! I told her as I could not operate the TV system how would I know that? I told her I would lay a complaint, I also talked to the man I assumed was in charge, he admitted he had seen me trying to rest/sleep, and assumed I slept like that! I have flown other airlines in Premium economy that took care of the elderly so much better, but as I decided this would be the last visit to the UK to see my sister before she forgets me, she has dementia, I decided it treat myself to business class return home, I had heard good things previously. I have to say, this was a very disappointing end,to a sad journey for me. I certainly would not recommend this airline."
2019-11-01,7,7,"""economy service in premium economy""","✅ Trip Verified | Singapore to Johannesburg. Daylight flight on A350 in premium economy. Checking-in and boarding was quick and efficient, with a warm welcome on-board, as is the norm with Singapore Airlines. There is generous locker space in premium economy, sufficient to allow blankets, pillows etc not immediately required to be stowed. Drinks and nuts were served shortly after take off, with champagne offered, but unfortunately served in a tiny plastic faux champagne glass. We had ordered lunch from book the cook. The quality was good, but would be so much better if served on proper plates and not in foil dishes. It is unfortunate that Singapore provide only economy service in premium economy. Drinks were offered with the meal, but again served in small plastic tumblers. Wine was simply red or white, and of mediocre quality. No refills were offered, and when trays were collected some time later a requested refill never materialised. With a good choice of entertainment and a comfortable seat the 11 hour flight seemed to pass quite quickly. The crew came round on a number of occasions with water and fruit, and a second hot meal was provided 2 hours before landing. Overall it was a very pleasant flight. The small premium economy cabin is very pleasant, and the A350 is a very nice aircraft. However it is unfortunate that the enhanced level of service expected in premium economy is not provided."
2019-10-31,2,2,"""boarding pass in two compartments""",✅ Trip Verified | Dhaka to Sydney via Singapore. My seat was in block 5 (seat no 61G and that of my wife was in Black 4 (seat no 46D). We must give heartfelt thanks to the lady who issued these two boarding pass. We must congratulate her as she was kind enough to issue boarding pass in two compartments though there were enough opportunity to issue boarding pass in one compartment and side by side. The performance of that staff I should say most unprofessional and unskill. I found the staff engaged to support wheel chair in Changi airport behaved unprofessional.
2019-10-30,10,10,Singapore Airlines customer review,"✅ Trip Verified | In June, I flew in first from Los Angeles to Manila return via Singapore. Everything was top notch. Cabin crew are delightfully interactive and helpful. The flat bed seats are so wide. The entertainment screen is large. The selection of films is marvelous. The food is scrumptuous. The Lalique branded amenity kit and sleepwear are divine. The first class Star Alliance lounge in LAX is quiet, private, and offers a menu to order from. The Private Room within the first class lounge at Singapore Changi Airport feels so exclusive and also offers a great food menu."
2019-10-28,3,3,"""not provide the vegetarian food""","✅ Trip Verified | Jakarta to Bangalore via Singapore. Their own staff suggested me to change flight which I agreed. But in the new flight, they did not provide the vegetarian food I had ordered in advance. I did not expect them to provide the same variant I ordered. I was told that they will provide any other vegetarian option. The cabin crew refused to make any adjustments. Zero empathy and rude behaviour of the cabin crew makes it worthless to fly this airlines again. Cramped seats in the aircraft A350-900 in economy seats keeps reminding you that you are in cattle class."
2019-10-27,9,9,"""experience was fabulous""","✅ Trip Verified | New York to Frankfurt. This was my first time flying in Singapore Airlines business class. The experience was fabulous from beginning to end. Lounge experience was a bit disappointing, but that seems to be a thing at JFK for most non-hub carriers (SQ uses partners' lounge as the airline doesn't have one at JFK). The A380 was bit old, but clean with ultra-wide seats. Service and catering were excellent."
2019-10-27,5,5,"""I expected much more""","✅ Trip Verified | London to Singapore. Check in area was chaotic to say the least and I had to label my own baggage prior to drop off. The Kris Lounge is a shared lounge and it was bursting at the seems, basically no seating, therefore had to go to local coffee shop. The service onboard was not what I expected from a 5 Star airline like Singapore Airlines. I would put the service down to being pretty poor and with an old aircraft to match. The only really good thing I can say was that the Wi-Fi was good. I expected much more from Singapore Airlines considering they are 5 Star and have recently won the coveted Skytrax Award for best airline."
2019-10-25,5,5,"""service is nothing to shout out about""","✅ Trip Verified | Kuala Lumpur to Tokyo via Singapore. It was my first time taking SIA, and was not a memorable one. The inflight service is nothing to shout out about. Seating comfort is average. Cabin crews were not that warm, they are just doing their job. The in-flight entertainment is so-so. Non-english movies come without English subtitle. My biggest frustration is the quality of food. I am Muslim and pre-ordered the Muslim special meal. On SIN-HND route, as we flew at night and it was mid-long haul, we were given snack around 2 hours after departure. I was just served a piece of cake while the others got a sandwich. However, the crew was kind enough to offer me a vege sandwich. While flight en route HND-SIN, was more surprising. I got on board around 9.15am, and we had lunch served around 4.5 hour after departure, without being served snack. They offered us peanuts and juice 2 hours after departure. All in all, I do not find SIA is accommodating enough but they offer good price for the ticket."
2019-10-23,6,6,"""getting more disappointing over time""","✅ Trip Verified | Singapore to Perth. SQ is getting more disappointing over time. This is my 2nd flight in a week that is delayed by an hour (my last was late by 90 minutes). SQ used to be reliable and comfortable. In today’s delay of 55 minutes, nobody bothered to walk around to give anyone water or juice. After take off, pre-dinner drinks service no longer comes with the trolley. Passengers have a choice of water, juice or beer from the tray. When did SQ downgrade it’s drink service to European standards? Cabin service overall was good. Food is average. However, the cost cutting measures of SQ is highly visible. I still have a few more business class flights booked till the end of the year but with such bad reliability in schedule, I am switching after this year."
2019-10-19,9,9,"""Service was inconsistent""","✅ Trip Verified | Perth to Singapore. Flight was due to depart late, but the delay was further compounded at the airport due to cargo unloading. In the end, we departed over 90 minutes after the original time. For some reason, safety video was loud in the economy cabin and then turned up even louder. We had to cover our ears. Service was inconsistent - most cabin staff were good, one was particularly curt. We arrived in Singapore with only 30 minutes to the time our connecting flight departed. The ground staff tried really hard to get us into the connecting flight - but the Malaysia Airlines counter was closed and we missed our flight because we could not get our boarding passes. We were rebooked onto a SilkAir flight the next morning with hotel vouchers to stay at the Crowne Plaza, plus dinner and breakfast included. SQ also contacted the hotel to extend their buffet opening hours to 11pm to accommodate us. Despite the frustration of missing a flight, Singapore Airlines delay management team has done very well to make things smooth. We still felt looked after having missed a flight. The delay management staff who helped us out was very impressive."
2019-10-17,3,3,"""Very poor service in business class""","✅ Trip Verified | Singapore to Manchester. Very poor service in business class. I have flown SQ business class many times before but this is the first time I have experienced such terrible service. Was particularly disappointed with the food and beverage service, and availability of cabin crew. I had requested Thai chicken curry and rice for supper, but changed my mind and requested the FA to wake me up for breakfast. I woke up just as they were serving breakfast and I requested breakfast. About 20 min later, one of the FA's served my the Thai chicken curry and rice. I was a bit shocked and told her that I requested breakfast, not supper, to which she replied they can serve only one meal to pax, and since I hadn't eaten this for supper, they brought it to me for breakfast. What? Only one meal in business class on a 13h 30m flight? And they say normal breakfast (you know toast, cereals and orange juice) is not available? Absolutely ridiculous. Not acceptable, especially in business class. Also, once they served supper (or breakfast), they went into the galley/crew rest area and never came out, and during the entire 13h 30m journey they did not even offer water to any of the pax. Again, this is not acceptable, not anywhere, let alone business class. Extremely disappointed with SQ, really did not expect them to be so lax. Will be flying the competition from now on, they just lost a customer."
2019-10-17,2,2,"""service has really gone downhill""","✅ Trip Verified | I don't understand why people say SQ is the best airline in the world. The service has really gone downhill in the past 5 years. I was traveling with my 10 month old daughter and husband on the non-stop from Singapore to LA (round trip). The flight attendants don't pay attention to details. They say they will wash baby bottles, but they hand back the bottle with milk still in it. So I had to request to wash the bottles myself (thankfully they allowed this). We ordered the ""Book the Cook"" meals, but the flight attendant didn't look up our info so they tried to serve us regular meals. When I told them we ordered ""Book the Cook"" meals they asked us what we ordered. I couldn't remember. Between the two of us that's 8 meals on 2 different flights that I booked in advance. If I knew I had to bring confirmation of the meal request, I would have done that. They heated up my daughter's meal without asking so it had to be thrown away because it needs to be consumed within one hour and she was sleeping because the flight was a night flight. The seats are uncomfortable for a 16 hour flight. I feel that economy plus seats for a long-haul flight should recline more. Also, the seats were really difficult for me to recline. When we boarded the plane, there was no bottled water in the water holders. Overall, it was just underwhelming. The price wasn't too bad considering it was Economy Plus and a non-stop flight to LA. I think the airline has good ideas, they just are executed properly by their staff."
2019-10-15,8,8,"""Service still lives up to its name""","✅ Trip Verified | Singapore to Perth with Singapore Airlines. Upon boarding, I was surprised at how close the seats were. The screen was very close to my face, which wasn’t very comfortable. The windows are new - no screens, but simply dim according to 1 of 6 settings. Even in economy, we have a USB charging port, which is a plus. Food was average. We had a choice between a western and an Asian dish. The servings were generous, and we ate from a tray with metal utensils - which is a big plus considering the number of airlines that feed us out of cupboard. Entertainment was relatively good - although not as good as Qatar Airways selection. Service still lives up to its name. Given the price of economy class, this was a decent enough ride for 4.5 hours."
2019-10-14,9,9,"""Service is the best""","✅ Trip Verified | Amsterdam to Singapore. Great food. Entertainment is ok. They have many Hollywood movies. Service is the best. Because I didn’t eat much, the stewardess asked if they could give me something else. Will definitely fly again."
2019-10-12,8,8,"""do not seem to be committed to premium economy""","✅ Trip Verified | Brisbane to Singapore on the late night flight. Boarding was on time and proceeded smoothly, with the usual warm welcome from the cabin crew. The seating and space is good, as expected in premium economy, with ample locker space. The seats include a leg support which is ineffective, and the footrest is not very good. There are no pre-flight drinks, unlike other airlines premium economy, and the water bottles had not been put out into the holders. This seems to be a hit and miss affair, sometimes the bottles in place on boarding, and other times only handed out later. Having water available immediately at least compensates to some degree for the lack of pre-take off drinks. Drinks were served with the meal shortly after take off, and again the Singapore attitude to premium economy is apparent. Food is the same as economy served on plastic trays, with no linen or crockery. Drinks are served in plastic tumblers. SQ advertise champagne available throughout the flight, and serve a good quality champagne, but in a tiny plastic tumbler. Service starts in premium economy, but the same crew carry on through economy, and trays remain until service is complete, and no drink refills are offered in the meantime. Water bottles were eventually handed out after meal service. Singapore economy class service is probably the best in the world, and on this flight the crew were superb. Unfortunately they do not seem to be committed to premium economy, and the enhancements which are provided by their competitors are absent. The primary justification for the “premium” price is space and comfort, which is provided, but having paid a not insignificant premium on the fare the expectation of an improved service level does not seem unreasonable. Overall the flight was good, with a superb crew, and it is unfortunate that SQ do not match other airlines with their premium economy service."
2019-10-11,1,1,"""I was disappointed with the seat""","✅ Trip Verified | Seattle to Singapore. I was quite excited about flying the Singapore Airlines A350 in Premium Economy class. I chose the bulkhead (an additional $130 USD over the regular Premium Economy fare) as my seat. I was disappointed with the seat. It was barely wider than an Economy Class seat, the leg rest might as well be non existent (it only extends about 3 inches), and there’s no dedicated lavatory for Premium Economy. Not to mention, the meals and cabin service are the same as Economy. Their so called Noise Canceling headphones aren’t noise canceling at all. I will pay extra for Premium Economy on EVA or Air Canada, but never again on Singapore Airlines."
2019-10-10,10,10,"""I will fly Singapore Airlines again""","✅ Trip Verified | Singapore to Brisbane. Cabin crew ensure you’re having the best experience. I missed getting an amenities kit as I had gone to use the lavatory. After mentioning this to a FA he went to get one however they had run out. So he tracked down every individual item, even going to business class for it to make sure I’d get a kit. The services are excellent; you get two hot towels, a blanket and a pillow, snacks and more. The seats are reasonably comfortable for economy and the in flight entertainment is expansive. The toilets are cleaned and stocked with dental kits. While more foot room and further reclining seats are always desirable, that’s never going to change in economy class. I will fly Singapore Airlines again."
2019-10-10,10,10,"""very impressive flight""","✅ Trip Verified | Flight from Stockholm to Moscow. Swift boarding. Clean and bright economy class cabin, very comfortable seat. Impeccable service. Very tasty and lavish (for such a short flight) breakfast (s. photo). No wonder the airline keeps being ranked so high in all reviews. Overall impression: very impressive flight with a pleasant aftertaste. Bravo!"
2019-10-10,4,4,"""each time is a little worse""","✅ Trip Verified | Singapore to Melbourne. I have taken SQ many times and each time is a little worse than the flight before. This flight was on time and passengers were boarded according to section. I was lucky that there was a spare seat between myself and the guy with the aisle seat. Once we took off, the passenger in front reclined (day flight) and it sure makes economy feel so squeezy. Unlike their promise on the website that you won’t be packed like sardines, you are. I can’t eat fish but I guess SQ decided to save money by incorporating all allergies. My breakfast was gluten free (revolting hard dry roll), no dairy and no sugar. I was appalled by it compared to the normal breakfast. I am glad I brought snacks like chocolate and cookies. The selection of entertainment was fine and the toilets are kept clean. However paying so much more to go with SQ I expected the standards to be maintained not reduced. I think I will only base future travel on price as this so called great airline is not so great."
2019-10-09,10,10,"""crew very friendly""",✅ Trip Verified | Stockholm to Moscow return. Check-in at Stockholm airport quick with very friendly staff; boarding fast; crew very friendly and polite; aircraft very clean with nice seats; entertainment system has a lot of choice with new movies. Amount of food was not much but enough for this short flight. We arrived one hour late at Moscow Domodedevo airport due to a technical problem on the previous flight. I would definitely recommend flying with Singapore Airlines and I think that this is the best carrier.
2019-10-08,5,5,"""my worst Economy flight ever""","✅ Trip Verified | Singapore to Adelaide. I dont know what happened to Singapore Airlines but just had my worst Economy flight ever. I am on the tall side with over 1.90cm but have had no issues on this flight over the decades on A310/A340/777/A330 in Eco and the occasional Biz class. My 1st time on their new A350-900 with their new economy seating and will be my last. The legroom is non existent. My knees were in constant contact with the seat infront. If the person infront of you decides to recline then you get to enjoy the screen about 20cm from your face. The seats are an absolute nightmare. Not only is the pitch terrible but also the width which is a complete joke. If you are travelling with a family member then fine otherwise you get to enjoy constant shoulder rubbing with your neighbour. The seat padding is the hardest i have come across. Having flown Thai's A350-900 the weekend before to Bangkok in standard eco seat as well and having no issues, I was looking forward to the SQ experience. What an incredible let down that was. The Thai product is so much better which is something i would have thought I would never say when comparing to SQ. Even Emirates a few months before in Economy was an absolute joy in comparison. The inbound flight was a 23:10 departure and our dinner consisted of a beverage and a packet of peanuts before lights were turned off. 4 hours later breakfast was served which consisted of yoghurt, a bit of fruit, bread roll and flavourless noodles or omelette. Not being able to sleep, you had to play catch the crew walking past if you wanted water. Not being heavyset, the tray actually pushed into my stomach when folded out which was also a new experience. On the return leg I managed to get the extra legroom seat in row 55 which was fine legroom wise but it was even more narrow then the standard seat as the tray folds out of the armrest taking up width. Compared to the standard economy seat this one is bearable for the 7 hours but again, not for anything longer. Whilst boarding and scanning the ticket the ground staff in ADL remarked"" oh, I am glad you got that seat as you are tall"". Whilst on board and having settled into the seat, the steward's pre-empted my seat neighbour's and my comment with ""yeah i know, they are very narrow"" so I can imagine the number of complaints about their seats. My neighbour and I, whilst trying to avoid shoulder contact had a lengthy discussion about how terrible these SQ seats have become. I will be exploring other carriers and connections in future as the premium paid for Singapore Airlines is simply not there anymore. Reading the number of gripes on the web about their Biz seats as well, I will be sure to choose other carriers in the future which saddens me as have been flying Singapore Airlines my entire life and had them in the highest regard until now but wont be enduring this torture ever again. I have absolutely no idea how they were voted best airline again."
2019-10-03,8,8,"""deterioration in the level of service""","✅ Trip Verified | Singapore to Perth. Was disappointed with the level of service as my grandson wasn't served the entree and my husband who had pre-ordered his ""Ramen"" main meal was served it cold and has to ask for it to be heated. Fail to understand how in business class staff can fail to serve one of the courses particularly when my family members were seated in the second row from the front. Overall on my earlier flight from Rome to Singapore the service was okay, not outstanding. I have flown numerous times Business Class in the last 5 years and I have noticed a deterioration in the level of service."
2019-10-01,3,3,"""they gave us seafood instead""","✅ Trip Verified | Jakarta to Singapore. I asked for a Vegetarian meal, but they gave us seafood instead. The fish is covered by pasta so we didn’t notice until my wife took a bite. Complain to one of the flight attendants, they said sorry, which to me isn’t enough. This is the 2nd time happens to me, not happy. Shouldn’t trust SQ that much."
2019-10-01,10,10,"""Cabin crew were amazing""","✅ Trip Verified | Outstanding service from check-in to landing on both Canberra to Singapore and Singapore to Sydney flights. My husband injured his foot in Singapore and the staff arranged for us to be moved to front row seating where more leg room was available. In addition, they arranged for a wheelchair at both ends. Cabin crew were amazing; thank you Singapore Airlines."
2019-10-01,1,1,"""was disappointed again""","✅ Trip Verified | Singapore to Delhi. After having the experienced the most arrogant crew ever on an SQ Business Class I have chosen Star Alliance Alternatives such as Asiana and ANA for my recent flights and I have not been disappointed at all, but for my flight to India, there was not viable option, so I went back to SQ and was disappointed again. They are dropping standards. The 2 passengers besides me had to suffer dropping water from the overhead cabinets without any solution, my food was lousy, I found the legroom below the standard of above mentioned airlines. The booking procedure is like a low cost where they are charging up to 10% of the total ticket price for a front row seat. All this from an airlines which was by all means the Best Airline in my flight experience, just a few years back."
2019-09-30,1,1,"""found it very unprofessional""","✅ Trip Verified | Melbourne to Singapore. Cabin crew refused to ask passenger in front of me to pull the chair backup when he served meals. I found it very unprofessional. I asked to speak to his supervisor, he then gave in to ask the front seat passenger to pull his chair up for me to have my meal. No more Singapore Airlines. I got the connected flight from Singapore to Nepal on SilkAir and to my surprise, before even handed my meal, the cabin crew asked the front seat passenger to pull up his chair for me to have my meal. I am not special, they have done that to everyone passenger."
2019-09-29,2,2,"""Extremely disappointed""","✅ Trip Verified | Colombo to Bali via Singapore. Extremely disappointed by the service provided by each cabin crew members of each flight, very arrogant and rude to passengers, basically they didn’t care about the requests made by myself and by other members who flew with me. Our expectations were very high on this airline, but it’s not worth the money we spent on, seriously will not recommend or fly on this airline hereafter."
2019-09-28,1,1,"""a very overpriced disappointing experience""",✅ Trip Verified | Singapore to Jakarta with Singapore Airlines. Disappointing aircraft. The crews are fine. But not necessarily showing great service. Further the mobile apps of the airline was down and most of the time I couldn’t check in online. Bad experience overall. Expensively priced which makes it a very overpriced disappointing experience.
